technique,app,num_all_activities,num_nodes,num_reached_activities,num_internal_activities,num_covered_states,reached_activities,internal_activities,num_set_text
STEM+DroidFiller,oss.krtirtho.spotube_31,7,1188,9,1,190,"['HomeDashboardActivity', 'Settings$WifiSettingsActivity', 'Settings$UsbDetailsActivity', 'RequestIgnoreBatteryOptimizations', 'LauncherActivity', 'AudioServiceActivity', 'CustomControlsActivity', 'InternalGoogleAppActivityEntrypoint', 'BluetoothScanDialog']",['AudioServiceActivity'],12
STEM+Context,oss.krtirtho.spotube_31,7,1188,8,1,197,"['FeedbackAlohaActivity', 'RequestIgnoreBatteryOptimizations', 'LauncherActivity', 'AudioServiceActivity', 'BatteryActivity', 'CustomControlsActivity', 'InternalGoogleAppActivityEntrypoint', 'CustomTabActivity']",['AudioServiceActivity'],14
STEM+DroidFiller,org.asafonov.monly_47,1,896,2,1,152,"['LauncherActivity', 'MainActivity']",['MainActivity'],238
STEM+Context,org.asafonov.monly_47,1,896,2,1,160,"['LauncherActivity', 'MainActivity']",['MainActivity'],265
STEM+DroidFiller,lying.fengfeng.foodrecords_1,2,386,3,1,93,"['LauncherActivity', 'MainActivity', 'AppErrorDialogActivity']",['MainActivity'],2
STEM+Context,lying.fengfeng.foodrecords_1,2,386,2,1,78,"['LauncherActivity', 'MainActivity']",['MainActivity'],2
STEM+DroidFiller,familyfinance,30,1689,31,27,181,"['IncomeOperationActivity', 'ExpenseArticleEditActivity', 'IncomeArticleEditActivity', 'TransferOperationEditActivity', 'DashboardActivity', 'SmsPatternEditActivity', 'InstalledAppDetails', 'IncomeOperationEditActivity', 'CurrencyEditActivity', 'TemplateEditActivity', 'IconicsActivity', 'TemplateActivity', 'IncomeArticleActivity', 'TransferOperationActivity', 'ExchangeRateActivity', 'PersonActivity', 'AccountActivity', 'FlowOfFundsOperationActivity', 'LauncherActivity', 'PersonEditActivity', 'AccountEditActivity', 'BackupActivity', 'SettingsActivity', 'ExpenseOperationEditActivity', 'ExpenseArticleActivity', 'ComposeActivityGmailExternal', 'ChartActivity', 'AllArticleActivity', 'ExchangeRateEditActivity', 'ChooserActivity', 'SmsPatternActivity']","['IncomeOperationActivity', 'ExpenseArticleEditActivity', 'IncomeArticleEditActivity', 'TransferOperationEditActivity', 'DashboardActivity', 'SmsPatternEditActivity', 'IncomeOperationEditActivity', 'CurrencyEditActivity', 'TemplateEditActivity', 'IconicsActivity', 'TemplateActivity', 'IncomeArticleActivity', 'TransferOperationActivity', 'ExchangeRateActivity', 'PersonActivity', 'AccountActivity', 'FlowOfFundsOperationActivity', 'PersonEditActivity', 'AccountEditActivity', 'BackupActivity', 'SettingsActivity', 'ExpenseOperationEditActivity', 'ExpenseArticleActivity', 'ChartActivity', 'AllArticleActivity', 'ExchangeRateEditActivity', 'SmsPatternActivity']",82
STEM+Context,familyfinance,30,1689,22,20,187,"['ExpenseArticleEditActivity', 'ExpenseOperationActivity', 'TransferOperationEditActivity', 'IncomeArticleEditActivity', 'DashboardActivity', 'SmsPatternEditActivity', 'InstalledAppDetails', 'IncomeOperationEditActivity', 'IconicsActivity', 'TemplateActivity', 'IncomeArticleActivity', 'ExchangeRateActivity', 'PersonActivity', 'AccountActivity', 'FlowOfFundsOperationActivity', 'LauncherActivity', 'AccountEditActivity', 'ExpenseOperationEditActivity', 'ExpenseArticleActivity', 'ChartActivity', 'AllArticleActivity', 'SmsPatternActivity']","['ExpenseArticleEditActivity', 'ExpenseOperationActivity', 'TransferOperationEditActivity', 'IncomeArticleEditActivity', 'DashboardActivity', 'SmsPatternEditActivity', 'IncomeOperationEditActivity', 'IconicsActivity', 'TemplateActivity', 'IncomeArticleActivity', 'ExchangeRateActivity', 'PersonActivity', 'AccountActivity', 'FlowOfFundsOperationActivity', 'AccountEditActivity', 'ExpenseOperationEditActivity', 'ExpenseArticleActivity', 'ChartActivity', 'AllArticleActivity', 'SmsPatternActivity']",57
STEM+DroidFiller,org.tasks_130909,46,1775,8,4,434,"['SortSettingsActivity', 'Camera', 'GoogleTTSActivity', 'TaskListActivity', 'CustomRecurrenceActivity', 'LocationPickerActivity', 'LauncherActivity', 'TagPickerActivity']","['SortSettingsActivity', 'CustomRecurrenceActivity', 'LocationPickerActivity', 'TagPickerActivity']",6
STEM+Context,org.tasks_130909,46,1775,10,4,22,"['SortSettingsActivity', 'ConversationComposer', 'MapsActivity', 'GoogleTTSActivity', 'Camera', 'TaskListActivity', 'LocationPickerActivity', 'LauncherActivity', 'TagPickerActivity', 'PlaceSettingsActivity']","['SortSettingsActivity', 'LocationPickerActivity', 'TagPickerActivity', 'PlaceSettingsActivity']",10
